 0.00000000e+00  6.57894880e-12 
 2.00000000e-02 -5.49141859e-06 
 4.00000000e-02 -1.06523450e-05 
 6.00000000e-02 -1.54822616e-05 
 8.00000000e-02 -1.99806415e-05 
 1.00000000e-01 -2.41469472e-05 
 1.20000000e-01 -2.79806444e-05 
 1.40000000e-01 -3.14812249e-05 
 1.60000000e-01 -3.46482466e-05 
 1.80000000e-01 -3.74814068e-05 
 2.00000000e-01 -3.99806798e-05 
 2.20000000e-01 -4.21465875e-05 
 2.40000000e-01 -4.39807542e-05 
 2.60000000e-01 -4.54870718e-05 
 2.80000000e-01 -4.66741438e-05 
 3.00000000e-01 -4.75599937e-05 
 3.20000000e-01 -4.81789242e-05 
 3.40000000e-01 -4.85851325e-05 
 3.60000000e-01 -4.88433846e-05 
 3.80000000e-01 -4.90103005e-05 
 4.00000000e-01 -4.91240727e-05 
 4.20000000e-01 -4.92068186e-05 
 4.40000000e-01 -4.92707026e-05 
 4.60000000e-01 -4.93224927e-05 
 4.80000000e-01 -4.93661090e-05 
 5.00000000e-01 -4.94039348e-05 
 5.20000000e-01 -4.94374904e-05 
 5.40000000e-01 -4.94677890e-05 
 5.60000000e-01 -4.94955317e-05 
 5.80000000e-01 -4.95212209e-05 
 6.00000000e-01 -4.95452268e-05 
 6.20000000e-01 -4.95678292e-05 
 6.40000000e-01 -4.95892442e-05 
 6.60000000e-01 -4.96096419e-05 
 6.80000000e-01 -4.96291585e-05 
 7.00000000e-01 -4.96479046e-05 
 7.20000000e-01 -4.96659713e-05 
 7.40000000e-01 -4.96834344e-05 
 7.60000000e-01 -4.97003577e-05 
 7.80000000e-01 -4.97167952e-05 
 8.00000000e-01 -4.97327934e-05 
 8.20000000e-01 -4.97483920e-05 
 8.40000000e-01 -4.97636261e-05 
 8.60000000e-01 -4.97785257e-05 
 8.80000000e-01 -4.97931178e-05 
 9.00000000e-01 -4.98074257e-05 
 9.20000000e-01 -4.98214704e-05 
 9.40000000e-01 -4.98352706e-05 
 9.60000000e-01 -4.98488431e-05 
 9.80000000e-01 -4.98622028e-05 
 1.00000000e+00 -4.98753634e-05 
 1.02000000e+00 -4.98883372e-05 
 1.04000000e+00 -4.99011352e-05 
 1.06000000e+00 -4.99137676e-05 
 1.08000000e+00 -4.99262437e-05 
 1.10000000e+00 -4.99385720e-05 
 1.12000000e+00 -4.99507603e-05 
 1.14000000e+00 -4.99628156e-05 
 1.16000000e+00 -4.99747447e-05 
 1.18000000e+00 -4.99865536e-05 
 1.20000000e+00 -4.99982479e-05 
 1.22000000e+00 -5.00098328e-05 
 1.24000000e+00 -5.00213131e-05 
 1.26000000e+00 -5.00326934e-05 
 1.28000000e+00 -5.00439776e-05 
 1.30000000e+00 -5.00551698e-05 
 1.32000000e+00 -5.00662734e-05 
 1.34000000e+00 -5.00772919e-05 
 1.36000000e+00 -5.00882283e-05 
