 0.00000000e+00  5.03322511e-05 
 2.00000000e-02  5.03321169e-05 
 4.00000000e-02  5.03319825e-05 
 6.00000000e-02  5.03318479e-05 
 8.00000000e-02  5.03317130e-05 
 1.00000000e-01  5.03315779e-05 
 1.20000000e-01  5.03314425e-05 
 1.40000000e-01  5.03313068e-05 
 1.60000000e-01  5.03311709e-05 
 1.80000000e-01  5.03310346e-05 
 2.00000000e-01  5.03308980e-05 
 2.20000000e-01  5.03307610e-05 
 2.40000000e-01  5.03306237e-05 
 2.60000000e-01  5.03304862e-05 
 2.80000000e-01  5.03303481e-05 
 3.00000000e-01  5.03302098e-05 
 3.20000000e-01  5.03300710e-05 
 3.40000000e-01  5.03299319e-05 
 3.60000000e-01  5.03297923e-05 
 3.80000000e-01  5.03296523e-05 
 4.00000000e-01  5.03295118e-05 
 4.20000000e-01  5.03293709e-05 
 4.40000000e-01  5.03292295e-05 
 4.60000000e-01  5.03290876e-05 
 4.80000000e-01  5.03289451e-05 
 5.00000000e-01  5.03288021e-05 
 5.20000000e-01  5.03286585e-05 
 5.40000000e-01  5.03285144e-05 
 5.60000000e-01  5.03283696e-05 
 5.80000000e-01  5.03282241e-05 
 6.00000000e-01  5.03280780e-05 
 6.20000000e-01  5.03279311e-05 
 6.40000000e-01  5.03277835e-05 
 6.60000000e-01  5.03276350e-05 
 6.80000000e-01  5.03274858e-05 
 7.00000000e-01  5.03273356e-05 
 7.20000000e-01  5.03271844e-05 
 7.40000000e-01  5.03270323e-05 
 7.60000000e-01  5.03268791e-05 
 7.80000000e-01  5.03267247e-05 
 8.00000000e-01  5.03265690e-05 
 8.20000000e-01  5.03264120e-05 
 8.40000000e-01  5.03262535e-05 
 8.60000000e-01  5.03260934e-05 
 8.80000000e-01  5.03259314e-05 
 9.00000000e-01  5.03257674e-05 
 9.20000000e-01  5.03256010e-05 
 9.40000000e-01  5.03254319e-05 
 9.60000000e-01  5.03252594e-05 
 9.80000000e-01  5.03250828e-05 
 1.00000000e+00  5.03249009e-05 
 1.02000000e+00  5.03247118e-05 
 1.04000000e+00  5.03245127e-05 
 1.06000000e+00  5.03242983e-05 
 1.08000000e+00  5.03240597e-05 
 1.10000000e+00  5.03237801e-05 
 1.12000000e+00  5.03234285e-05 
 1.14000000e+00  5.03229496e-05 
 1.16000000e+00  5.03222571e-05 
 1.18000000e+00  5.03212438e-05 
 1.20000000e+00  5.03198118e-05 
 1.22000000e+00  5.03178997e-05 
 1.24000000e+00  5.03154859e-05 
 1.26000000e+00  5.03125788e-05 
 1.28000000e+00  5.03092064e-05 
 1.30000000e+00  5.03054076e-05 
 1.32000000e+00  5.03012267e-05 
 1.34000000e+00  5.02967087e-05 
 1.36000000e+00  5.02918964e-05 
 1.38000000e+00  5.02868281e-05 
 1.40000000e+00  5.02815371e-05 
 1.42000000e+00  5.02760515e-05 
 1.44000000e+00  5.02703944e-05 
 1.46000000e+00  5.02645844e-05 
 1.48000000e+00  5.02586366e-05 
 1.50000000e+00  5.02525630e-05 
 1.52000000e+00  5.02463732e-05 
 1.54000000e+00  5.02400744e-05 
 1.56000000e+00  5.02336726e-05 
 1.58000000e+00  5.02271722e-05 
 1.60000000e+00  5.02205764e-05 
 1.62000000e+00  5.02138879e-05 
 1.64000000e+00  5.02071083e-05 
 1.66000000e+00  5.02002388e-05 
 1.68000000e+00  5.01932799e-05 
 1.70000000e+00  5.01862318e-05 
 1.72000000e+00  5.01790942e-05 
 1.74000000e+00  5.01718667e-05 
 1.76000000e+00  5.01645484e-05 
 1.78000000e+00  5.01571381e-05 
 1.80000000e+00  5.01496345e-05 
 1.82000000e+00  5.01420358e-05 
 1.84000000e+00  5.01343405e-05 
 1.86000000e+00  5.01265462e-05 
 1.88000000e+00  5.01186509e-05 
 1.90000000e+00  5.01106520e-05 
 1.92000000e+00  5.01025469e-05 
 1.94000000e+00  5.00943327e-05 
 1.96000000e+00  5.00860062e-05 
 1.98000000e+00  5.00775642e-05 
 2.00000000e+00  5.00690031e-05 
 2.02000000e+00  5.00603191e-05 
 2.04000000e+00  5.00515081e-05 
 2.06000000e+00  5.00425657e-05 
 2.08000000e+00  5.00334873e-05 
 2.10000000e+00  5.00242680e-05 
